,"Acadia","Adams","Alibates Flint Quarries","Allegheny Portage Railroad","Big Cypress","Big Hole","Big South Fork National River and Recreation Area","Black Canyon of the Gunnison","Blue Ridge Parkway","Boston African American","Bryce Canyon","Buck Island Reef","Canaveral","Canyonlands","Cape Cod","Cape Hatteras","Carl Sandburg Home","Carlsbad Caverns","Casa Grande Ruins","Castle Clinton","Chamizal","Chattahoochee River","Cowpens","Cumberland Gap","Cumberland Island","Curecanti","DeSoto","Death Valley","Effigy Mounds","El Malpais","Eleanor Roosevelt","Everglades","Flight 93","Fort Caroline","Fort Davis","Fort Larned","Fort Raleigh","Fort Scott","Fort Smith","Fort Stanwix","Fort Vancouver","Fort Washington","Fredericksburg and Spotsylvania County Battlefields Memorial ","General Grant","George Rogers Clark","Gettysburg","Gila Cliff Dwellings","Glen Canyon","Grand Canyon","Grant-Kohrs Ranch","Great Smoky Mountains","Greenbelt","Guadalupe Mountains","Guilford Courthouse","Gulf Islands","Harpers Ferry","Herbert Hoover","Homestead National Monument of America","Independence","Indiana Dunes","Jefferson National Expansion Memorial","Jimmy Carter","Kalaupapa","Kaloko-Honokohau","Keweenaw","Kings Canyon","Kings Mountain","Klondike Gold Rush","Klondike Gold Rush - Seattle Unit","Knife River Indian Villages","Kobuk Valley","Lake Mead","Lake Meredith","Lake Roosevelt","Lava Beds","Lewis and Clark","Lincoln Boyhood","Lincoln Home","Lincoln Memorial","Little River Canyon","Lowell","Lyndon B. Johnson","Lyndon Baines Johnson Memorial Grove on the Potomac","Maggie L. Walker","Mammoth Cave","Manassas","Manhattan Project","Manzanar","Marsh-Billings-Rockefeller","Martin Luther King, Jr.","Martin Van Buren","Mary McLeod Bethune Council House","Minute Man","Montezuma Castle","Moores Creek","Natchez Trace Parkway","North Cascades","Obed Wild and Scenic River","Ozark National Scenic Riverways","Petrified Forest","Petroglyph","Pictured Rocks","Pipestone","Prince William Forest","Pu'uhonua o Honaunau","Puukohola Heiau","River Raisin","Rocky Mountain","Saint Croix National Scenic River","Sand Creek Massacre","Saratoga","Sunset Crater Volcano","Theodore Roosevelt Island","Thomas Stone","Timucuan","Tonto","Tumacacori","Upper Delaware National Scenic and Recreation River","Vanderbilt Mansion","Vicksburg","Washita Battlefield","Weir Farm","White Sands","Whitman Mission","William Jefferson Clinton Birthplace","Wilson's Creek","Wind Cave","Women's Rights","World War II Memorial","Wright Brothers","Wupatki","Yosemite","Yukon-Charley Rivers"
,"NP","NHP","NM","NHS","NPRES","NB","NR","NP","PKWY","NHS","NP","NM","NS","NP","NS","NS","NHS","NP","NM","NM","NMEM","NRA","NB","NHP","NS","NRA","NMEM","NP","NM","NM","NHS","NP","NMEM","NMEM","NHS","NHS","NHS","NHS","NHS","NM","NHS","P","NMP","NMEM","NHP","NMP","NM","NRA","NP","NHS","NP","P","NP","NMP","NS","NHP","NHS","NM","NHP","NL","NMEM","NHS","NHP","NHP","NHP","NP","NMP","NHP","NHP","NHS","NP","NRA","NRA","NRA","NM","NHP","NMEM","NHS","NMEM","NPRES","NHP","NHP","NMEM","NHS","NP","NBP","NHP","NHS","NHP","NMEM","NHS","NHS","NHP","NM","NB","PKWY","NP","NWSR","NR","NP","NM","NL","NM","P","NHP","NHS","NBP","NP","NWSR","NHS","NHP","NM","NMEM","NHS","NPRES","NM","NHP","NWSR","NHS","NMP","NHS","NHS","NM","NHS","NHS","NB","NP","NHP","NMEM","NMEM","NM","NP","NPRES"
1904,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2900","","","","","",""
1905,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2438","","","","","",""
1906,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2787","","","","","5414",""
1907,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2751","","","","","7102",""
1908,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1773","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3171","","","","","8850",""
1909,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","798","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3216","","","","","13182",""
1910,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1178","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3387","","","","","13619",""
1911,"","","","","","","","","","","","","","","","","","","450","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2160","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3887","","","","","12530",""
1912,"","","","","","","","","","","","","","","","","","","450","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2240","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3199","","","","","10884",""
